Names,Cost,Points
Tadej Pogacar,32,192
Mathieu Van Der Poel,30,540
Tom Pidcock,26,450
Greg Van Avermaet,24,135
Jasper Philipsen,24,78
Yves Lampaert,24,36
Tiesj Benoot,20,495
Matteo Trentin,20,9
Dylan Van Baarle,18,20
Elia Viviani,18,20
Nils Politt,16,450
Stefan Kueng,16,336
Valentin Madouas,16,180
Andrea Pasqualon,16,171
Soren Kragh Andersen,14,126
Gianni Vermeersch,14,105
Niki Terpstra,14,90
Bryan Coquard,14,72
Mike Teunissen,14,67
David Dekker,14,40
Amaury Capiot,12,162
Dries De Bondt,12,60
Victor Campenaerts,10,405
Fred Wright,10,54
Olav Kooij,10,40
Timo Roosen,10,40
Ben Swift,10,20
Jannik Steimle,8,153
Olivier Le Gac,8,117
Michael Gogl,8,60
Jan Tratnik,6,204
Johan Jacobs,6,153
Pascal Eenkhoorn,6,121
Matis Louvel,6,108
Alexis Gougeard,6,99
Mathijs Paasschens,6,90
Mick Van Dijke,6,40
Kim Heiduk,6,20
Kelland O'Brien,4,408
Ben Turner,4,326
Magnus Sheffield,4,164
Aaron Verwilst,4,90
Tobias Bayer,4,60
Julien Vermote,4,60
